"stand_id";"species";"count";"height_from";"height_to";"age"
23;"Potr";1092.14;0.27;0.47;20
23;"Potr";1092.14;3.03;3.23;20
23;"Potr";1092.14;0.86;1.06;20
23;"Potr";1092.14;1.22;1.42;20
23;"Potr";1092.14;2.08;2.28;20
23;"Potr";1092.14;1.25;1.45;20
23;"Potr";1092.14;0.06;0.26;20
23;"Potr";1092.14;-0.08;0.12;20
23;"Potr";1092.14;2.68;2.88;20
23;"Potr";1092.14;1.66;1.86;20
23;"Potr";1092.14;1.01;1.21;20
23;"Potr";1092.14;2.8;3;20
23;"Potr";1092.14;1.27;1.47;20
23;"Potr";1092.14;1.31;1.51;20
23;"Potr";1092.14;0.09;0.29;20
23;"Potr";1092.14;2.46;2.66;20
23;"Potr";1092.14;2.15;2.35;20
23;"Potr";1092.14;1.76;1.96;20
23;"Potr";1092.14;1.49;1.69;20
23;"Potr";1092.14;0.42;0.62;20
23;"Potr";1092.14;0.17;0.37;20
23;"Potr";1092.14;2.77;2.97;20
23;"Potr";1092.14;2.16;2.36;20
23;"Potr";1092.14;0.69;0.89;20
23;"Potr";1092.14;3.34;3.54;20
24;"Potr";618.67;2.46;2.66;20
24;"Potr";618.67;0.89;1.09;20
24;"Potr";618.67;1.71;1.91;20
24;"Potr";618.67;0.82;1.02;20
24;"Potr";618.67;1.49;1.69;20
24;"Potr";618.67;1.47;1.67;20
24;"Potr";618.67;3.2;3.4;20
24;"Potr";618.67;0.91;1.11;20
24;"Potr";618.67;0.83;1.03;20
24;"Potr";618.67;3.16;3.36;20
24;"Potr";618.67;0.4;0.6;20
24;"Potr";618.67;1.51;1.71;20
24;"Potr";618.67;0.84;1.04;20
24;"Potr";618.67;2.51;2.71;20
24;"Potr";618.67;0.06;0.26;20
24;"Potr";618.67;0.43;0.63;20
24;"Potr";618.67;1.09;1.29;20
24;"Potr";618.67;2.26;2.46;20
24;"Potr";618.67;2.43;2.63;20
24;"Potr";618.67;2.09;2.29;20
24;"Potr";618.67;0.76;0.96;20
24;"Potr";618.67;2.87;3.07;20
24;"Potr";618.67;0.66;0.86;20
24;"Potr";618.67;1.02;1.22;20
24;"Potr";618.67;0.85;1.05;20
25;"Potr";1570.43;1.81;2.01;20
25;"Potr";1570.43;1.4;1.6;20
25;"Potr";1570.43;0.59;0.79;20
25;"Potr";1570.43;1.99;2.19;20
25;"Potr";1570.43;3.19;3.39;20
25;"Potr";1570.43;2.12;2.32;20
25;"Potr";1570.43;0.12;0.32;20
25;"Potr";1570.43;1.51;1.71;20
25;"Potr";1570.43;0.15;0.35;20
25;"Potr";1570.43;0.48;0.68;20
25;"Potr";1570.43;0.6;0.8;20
25;"Potr";1570.43;1.76;1.96;20
25;"Potr";1570.43;2.45;2.65;20
25;"Potr";1570.43;0.72;0.92;20
25;"Potr";1570.43;2.04;2.24;20
25;"Potr";1570.43;3.15;3.35;20
25;"Potr";1570.43;1.61;1.81;20
25;"Potr";1570.43;2.34;2.54;20
25;"Potr";1570.43;1.16;1.36;20
25;"Potr";1570.43;1.1;1.3;20
25;"Potr";1570.43;0.45;0.65;20
25;"Potr";1570.43;0.49;0.69;20
25;"Potr";1570.43;2.22;2.42;20
